date,employee_id,status,check_in
2026-01-19,E1066,Remote,07:01
2026-01-19,E1067,Office,07:08
2026-01-19,E1068,Office,09:17
2026-01-19,E1069,On Leave,
2026-01-19,E1070,Office,07:12
2026-01-19,E1071,Office,08:34
2026-01-19,E1072,Office,07:32
2026-01-19,E1073,Office,09:44
2026-01-19,E1074,Office,08:05
2026-01-19,E1075,Remote,07:58
2026-01-19,E1076,Office,07:58
2026-01-19,E1077,Remote,09:51
2026-01-19,E1078,Remote,09:49
2026-01-19,E1079,Remote,07:32
2026-01-19,E1080,Office,09:11
2026-01-19,E1081,Office,07:27
2026-01-19,E1082,Office,07:10
2026-01-19,E1083,Office,08:21
2026-01-19,E1084,Remote,07:26
2026-01-19,E1085,Office,09:43
2026-01-19,E1086,Office,07:42
2026-01-19,E1087,Remote,09:52
2026-01-19,E1088,Office,08:36
2026-01-19,E1090,Office,09:30
2026-01-19,E1091,Office,08:40
2026-01-19,E1092,Remote,07:48
2026-01-19,E1093,Remote,07:00
2026-01-19,E1094,Remote,07:00
2026-01-19,E1095,Remote,08:29
2026-01-19,E1096,Office,07:19
2026-01-19,E1097,Office,07:10
2026-01-19,E1098,Office,08:33
2026-01-19,E1099,Office,09:08
2026-01-19,E1100,Office,07:28
2026-01-19,E1101,Remote,07:09
2026-01-19,E1103,Office,07:08
2026-01-19,E1104,On Leave,
2026-01-19,E1105,Office,08:37
2026-01-19,E1106,Office,09:14
2026-01-19,E1107,Office,08:57
2026-01-19,E1108,Remote,08:08
2026-01-19,E1109,Office,09:52
2026-01-19,E1110,Remote,09:55
2026-01-19,E1111,On Leave,
2026-01-19,E1112,Remote,07:06
2026-01-19,E1113,Office,09:47
2026-01-19,E1114,Remote,08:11
2026-01-19,E1115,Remote,09:47
2026-01-19,E1116,Absent,
2026-01-19,E1117,Office,07:08
2026-01-19,E1118,Office,09:55
2026-01-19,E1119,Office,08:34
2026-01-19,E1120,Remote,07:41
2026-01-19,E1121,Office,07:11
2026-01-19,E1122,Office,08:48
2026-01-19,E1123,Office,07:44
2026-01-19,E1124,Remote,09:41
2026-01-19,E1125,Office,08:08
2026-01-19,E1126,Remote,08:53
2026-01-19,E1127,Remote,07:01
2026-01-19,E1128,Office,07:33
2026-01-19,E1129,Office,08:10
2026-01-19,E1130,Office,09:16
2026-01-19,E1131,Remote,08:41
2026-01-19,E1132,Office,07:23
2026-01-19,E1133,Office,07:31
2026-01-19,E1134,Remote,07:21
2026-01-19,E1135,Remote,08:39
2026-01-19,E1136,Office,09:01
2026-01-19,E1137,Office,07:39
2026-01-19,E1138,Office,08:57
2026-01-19,E1139,Office,08:08
2026-01-19,E1140,Office,07:14
2026-01-19,E1141,On Leave,
2026-01-19,E1142,Office,09:51
2026-01-19,E1143,Office,07:28
2026-01-19,E1144,Office,08:26
2026-01-19,E1145,Office,08:48
2026-01-19,E1146,Remote,09:52
2026-01-19,E1147,Office,08:59
2026-01-19,E1148,Remote,07:28
2026-01-19,E1149,Office,07:03
2026-01-19,E1150,On Leave,
2026-01-19,E1151,Office,09:29
2026-01-19,E1152,Office,08:20
2026-01-19,E1153,Remote,07:52
2026-01-19,E1154,Office,09:43
2026-01-19,E1155,Office,08:26
2026-01-19,E1156,Office,07:59
2026-01-19,E1157,Remote,07:35
2026-01-19,E1158,Remote,08:02
2026-01-19,E1159,Office,07:08
2026-01-19,E1160,Office,08:15
2026-01-19,E1161,Office,07:48
2026-01-19,E1162,Absent,
2026-01-19,E1163,On Leave,
2026-01-19,E1164,Office,08:17
2026-01-19,E1165,Remote,09:04
2026-01-19,E1166,Office,09:20
2026-01-19,E1167,Office,07:05
2026-01-19,E1168,Office,09:28
2026-01-19,E1169,Office,07:30
2026-01-19,E1170,Office,08:22
2026-01-19,E1171,Office,08:25
2026-01-19,E1172,Office,09:17
2026-01-19,E1173,Office,08:54
2026-01-19,E1174,Office,08:13
2026-01-19,E1175,Remote,09:37
2026-01-19,E1176,Remote,08:57
2026-01-19,E1177,Remote,09:34
2026-01-19,E1178,Office,09:20
2026-01-19,E1179,Remote,08:58
2026-01-20,E1000,Absent,
2026-01-20,E1001,Office,08:01
2026-01-20,E1002,Office,08:36
2026-01-20,E1003,Office,09:36
2026-01-20,E1004,Office,09:26
2026-01-20,E1005,Office,09:50
2026-01-20,E1006,Office,07:31
2026-01-20,E1008,Remote,08:35
2026-01-20,E1009,Remote,08:40
2026-01-20,E1010,Office,07:58
2026-01-20,E1012,Remote,08:01
2026-01-20,E1013,Office,08:17
2026-01-20,E1014,Office,09:48
2026-01-20,E1015,Office,07:43
2026-01-20,E1016,Remote,08:08
2026-01-20,E1017,Office,07:58
2026-01-20,E1018,Office,09:27
2026-01-20,E1019,Remote,09:08
2026-01-20,E1020,Office,08:56
2026-01-20,E1021,Office,08:25
2026-01-20,E1022,Office,08:04
2026-01-20,E1023,Office,09:19
2026-01-20,E1024,Office,09:33
2026-01-20,E1025,Office,09:59
2026-01-20,E1026,Remote,07:16
2026-01-20,E1028,Office,07:25
2026-01-20,E1029,Remote,07:02
2026-01-20,E1030,Remote,09:35
2026-01-20,E1031,Office,09:59
2026-01-20,E1032,Office,08:23
2026-01-20,E1033,Remote,07:13
2026-01-20,E1034,On Leave,
2026-01-20,E1035,On Leave,
2026-01-20,E1036,Office,09:44
2026-01-20,E1037,Remote,09:40
2026-01-20,E1038,Remote,07:59
2026-01-20,E1039,Remote,07:30
2026-01-20,E1040,Office,07:15
2026-01-20,E1041,Office,07:31
2026-01-20,E1042,Office,08:34
2026-01-20,E1043,Office,09:50
2026-01-20,E1044,Office,07:14
2026-01-20,E1045,Office,07:24
2026-01-20,E1046,Office,09:12
2026-01-20,E1047,Office,09:12
2026-01-20,E1049,Office,07:46
2026-01-20,E1050,Remote,08:34
2026-01-20,E1051,Office,09:30
2026-01-20,E1052,Remote,08:06
2026-01-20,E1053,Remote,09:40
2026-01-20,E1054,Remote,09:16
2026-01-20,E1055,Remote,07:56
2026-01-20,E1056,Remote,07:45
2026-01-20,E1057,Remote,07:53
2026-01-20,E1058,Remote,08:13
2026-01-20,E1059,Office,07:14
2026-01-20,E1060,Remote,09:20
2026-01-20,E1061,Remote,07:06
2026-01-20,E1062,Office,08:44
2026-01-20,E1063,Office,07:47
2026-01-20,E1064,Office,09:17
2026-01-20,E1065,On Leave,
2026-01-20,E1066,Remote,07:59
2026-01-20,E1067,Remote,08:45
2026-01-20,E1068,Office,07:36
2026-01-20,E1069,Remote,08:14
2026-01-20,E1070,Office,08:14
2026-01-20,E1071,Office,09:35
2026-01-20,E1072,On Leave,
2026-01-20,E1073,Office,07:05
2026-01-20,E1074,Office,07:32
2026-01-20,E1075,Office,07:14
2026-01-20,E1076,Office,09:42
2026-01-20,E1077,Office,09:34
2026-01-20,E1078,Office,09:22
2026-01-20,E1079,Office,09:35
2026-01-20,E1080,Office,08:40
2026-01-20,E1081,Office,09:46
2026-01-20,E1082,Office,09:33
2026-01-20,E1083,Office,09:12
2026-01-20,E1084,Office,09:54
2026-01-20,E1085,Office,07:28
2026-01-20,E1086,Office,09:38
2026-01-20,E1087,Office,07:48
2026-01-20,E1088,Office,08:12
2026-01-20,E1090,Remote,07:34
2026-01-20,E1091,Office,07:45
2026-01-20,E1092,Office,08:22
2026-01-20,E1093,Remote,08:00
2026-01-20,E1094,Office,09:28
2026-01-20,E1095,Remote,07:48
2026-01-20,E1096,Office,07:13
2026-01-20,E1097,Office,08:39
2026-01-20,E1098,Office,09:39
2026-01-20,E1099,Office,09:29
2026-01-20,E1100,On Leave,
2026-01-20,E1101,Office,09:39
2026-01-20,E1103,Office,07:25
2026-01-20,E1104,Office,07:11
2026-01-20,E1105,Office,09:37
2026-01-20,E1106,Remote,09:00
2026-01-20,E1107,Office,07:07
2026-01-20,E1108,Remote,08:38
2026-01-20,E1109,Remote,08:16
2026-01-20,E1110,Office,07:16
2026-01-20,E1111,Office,07:47
2026-01-20,E1112,Office,08:56
2026-01-20,E1113,Office,08:13
2026-01-20,E1114,Office,07:59
2026-01-20,E1115,Office,08:48
2026-01-20,E1116,Office,09:06
2026-01-20,E1117,Absent,
2026-01-20,E1118,Office,08:17
2026-01-20,E1119,Office,07:38
2026-01-20,E1120,Office,08:47
2026-01-20,E1121,Office,08:04
2026-01-20,E1122,Remote,08:45
2026-01-20,E1123,Office,09:51
2026-01-20,E1124,Office,08:02
2026-01-20,E1125,Office,09:38
2026-01-20,E1126,Remote,09:31
2026-01-20,E1127,Office,08:50
2026-01-20,E1128,Remote,08:22
2026-01-20,E1129,Office,09:26
2026-01-20,E1130,Remote,07:53
2026-01-20,E1131,Office,09:33
2026-01-20,E1132,Remote,07:09
2026-01-20,E1133,Remote,08:50
2026-01-20,E1134,Remote,07:34
2026-01-20,E1135,Remote,09:09
2026-01-20,E1136,Absent,
2026-01-20,E1137,Office,09:31
2026-01-20,E1138,Office,09:17
2026-01-20,E1139,Absent,
2026-01-20,E1140,Office,09:49
2026-01-20,E1141,Office,09:50
2026-01-20,E1142,Office,08:50
2026-01-20,E1143,Office,09:02
2026-01-20,E1144,Office,08:25
2026-01-20,E1145,Office,07:14
2026-01-20,E1146,Office,08:05
2026-01-20,E1147,Remote,09:41
2026-01-20,E1148,Office,09:48
2026-01-20,E1149,Office,09:10
2026-01-20,E1150,Office,07:23
2026-01-20,E1151,Remote,08:51
2026-01-20,E1152,Office,09:03
2026-01-20,E1153,Remote,07:44
2026-01-20,E1154,Office,09:39
2026-01-20,E1155,Office,08:42
2026-01-20,E1156,Remote,07:26
2026-01-20,E1157,Office,08:47
2026-01-20,E1158,Remote,07:49
2026-01-20,E1159,Remote,07:12
2026-01-20,E1160,Remote,09:52
2026-01-20,E1161,Office,09:20
2026-01-20,E1162,Office,09:06
2026-01-20,E1163,Office,07:07
2026-01-20,E1164,Office,09:20
2026-01-20,E1165,On Leave,
2026-01-20,E1166,Remote,07:55
2026-01-20,E1167,Office,08:39
2026-01-20,E1168,Remote,07:37
2026-01-20,E1169,Office,09:43
2026-01-20,E1170,Remote,07:54
2026-01-20,E1171,Office,07:58
2026-01-20,E1172,Office,08:03
2026-01-20,E1173,Office,08:13
2026-01-20,E1174,Office,07:03
2026-01-20,E1175,Office,09:32
2026-01-20,E1176,On Leave,
2026-01-20,E1177,Remote,08:14
2026-01-20,E1178,Office,07:43
2026-01-20,E1179,Remote,08:16
2026-01-21,E1000,Remote,08:18
2026-01-21,E1001,Remote,08:47
2026-01-21,E1002,Office,07:17
2026-01-21,E1003,Office,07:33
2026-01-21,E1004,Office,07:38
2026-01-21,E1005,Office,07:19
2026-01-21,E1006,Remote,09:24
2026-01-21,E1008,Office,07:15
2026-01-21,E1009,Office,09:36
2026-01-21,E1010,Office,08:10
2026-01-21,E1012,Office,08:48
2026-01-21,E1013,Remote,07:49
2026-01-21,E1014,Office,09:53
2026-01-21,E1015,Remote,08:40
2026-01-21,E1016,Remote,09:39
2026-01-21,E1017,Office,07:04
2026-01-21,E1018,Office,09:10
2026-01-21,E1019,Office,08:19
2026-01-21,E1020,Office,09:07
2026-01-21,E1021,Office,08:44
2026-01-21,E1022,Office,09:12
2026-01-21,E1023,Remote,07:44
2026-01-21,E1024,Remote,09:46
2026-01-21,E1025,Remote,08:59
2026-01-21,E1026,On Leave,
2026-01-21,E1028,Office,07:26
2026-01-21,E1029,Remote,08:10
2026-01-21,E1030,Office,08:06
2026-01-21,E1031,Office,07:17
2026-01-21,E1032,Remote,08:40
2026-01-21,E1033,Office,07:34
2026-01-21,E1034,Remote,09:12
2026-01-21,E1035,Office,07:20
2026-01-21,E1036,Remote,09:35
2026-01-21,E1037,Remote,08:18
2026-01-21,E1038,Office,09:03
2026-01-21,E1039,Remote,09:18
2026-01-21,E1040,Office,07:36
2026-01-21,E1041,Remote,08:52
2026-01-21,E1042,Office,08:31
2026-01-21,E1043,Office,08:35
2026-01-21,E1044,Office,09:36
2026-01-21,E1045,Office,07:33
2026-01-21,E1046,Office,09:46
2026-01-21,E1047,Office,08:08
2026-01-21,E1049,Absent,
2026-01-21,E1050,Office,08:45
2026-01-21,E1051,Office,09:00
2026-01-21,E1052,On Leave,
2026-01-21,E1053,Office,08:25
2026-01-21,E1054,On Leave,
2026-01-21,E1055,Remote,07:04
2026-01-21,E1056,Office,08:19
2026-01-21,E1057,Remote,08:03
2026-01-21,E1058,Remote,07:40
2026-01-21,E1059,Office,08:38
2026-01-21,E1060,Remote,07:09
2026-01-21,E1061,Remote,08:59
2026-01-21,E1062,Office,08:53
2026-01-21,E1063,Office,09:15
2026-01-21,E1064,Office,07:20
2026-01-21,E1065,Office,08:40
2026-01-21,E1066,Remote,09:52
2026-01-21,E1067,Office,09:58
2026-01-21,E1068,Remote,09:10
2026-01-21,E1069,Remote,07:24
2026-01-21,E1070,Office,09:54
2026-01-21,E1071,Remote,07:05
2026-01-21,E1072,Remote,09:40
2026-01-21,E1073,Remote,07:05
2026-01-21,E1074,Office,08:13
2026-01-21,E1075,Office,07:44
2026-01-21,E1076,Remote,07:03
2026-01-21,E1077,Office,08:05
2026-01-21,E1078,Office,07:11
2026-01-21,E1079,Remote,09:18
2026-01-21,E1080,Office,07:49
2026-01-21,E1081,Office,07:53
2026-01-21,E1082,Office,07:44
2026-01-21,E1083,On Leave,
2026-01-21,E1084,Office,09:42
2026-01-21,E1085,Office,07:48
2026-01-21,E1086,Office,09:38
2026-01-21,E1087,Office,09:27
2026-01-21,E1088,Office,08:27
2026-01-21,E1090,On Leave,
2026-01-21,E1091,Office,09:16
2026-01-21,E1092,Remote,08:27
2026-01-21,E1093,Remote,08:50
2026-01-21,E1094,Office,07:55
2026-01-21,E1095,Office,07:26
2026-01-21,E1096,Office,07:42
2026-01-21,E1097,Office,08:33
2026-01-21,E1098,Office,09:28
2026-01-21,E1099,Office,08:05
2026-01-21,E1100,Absent,
2026-01-21,E1101,Office,07:53
2026-01-21,E1103,Remote,07:58
2026-01-21,E1104,Remote,08:02
2026-01-21,E1105,Office,09:59
2026-01-21,E1106,Office,07:11
2026-01-21,E1107,Remote,07:45
2026-01-21,E1108,Remote,08:12
2026-01-21,E1109,Office,08:17
2026-01-21,E1110,Office,09:11
2026-01-21,E1111,Remote,09:12
2026-01-21,E1112,Remote,07:46
2026-01-21,E1113,Office,09:52
2026-01-21,E1114,Office,09:16
2026-01-21,E1115,Office,07:48
2026-01-21,E1116,Office,09:35
2026-01-21,E1117,Office,09:40
2026-01-21,E1118,Office,07:19
2026-01-21,E1119,Office,07:13
2026-01-21,E1120,Office,09:19
2026-01-21,E1121,Office,07:40
2026-01-21,E1122,Absent,
2026-01-21,E1123,Absent,
2026-01-21,E1124,Office,07:53
2026-01-21,E1125,Office,07:05
2026-01-21,E1126,Office,07:59
2026-01-21,E1127,Office,09:26
2026-01-21,E1128,Remote,09:41
2026-01-21,E1129,On Leave,
2026-01-21,E1130,Office,08:51
2026-01-21,E1131,Remote,09:37
2026-01-21,E1132,Remote,09:55
2026-01-21,E1133,Office,08:35
2026-01-21,E1134,Office,07:26
2026-01-21,E1135,Office,07:52
2026-01-21,E1136,Office,07:56
2026-01-21,E1137,Office,08:43
2026-01-21,E1138,Remote,07:57
2026-01-21,E1139,Office,08:13
2026-01-21,E1140,Office,08:30
2026-01-21,E1141,Office,07:08
2026-01-21,E1142,Office,08:15
2026-01-21,E1143,Office,08:32
2026-01-21,E1144,Office,08:20
2026-01-21,E1145,Office,07:46
2026-01-21,E1146,Absent,
2026-01-21,E1147,Remote,09:54
2026-01-21,E1148,Office,08:22
2026-01-21,E1149,Office,09:38
2026-01-21,E1150,Remote,07:37
2026-01-21,E1151,Office,07:56
2026-01-21,E1152,Absent,
2026-01-21,E1153,Remote,07:38
2026-01-21,E1154,Office,07:21
2026-01-21,E1155,Remote,08:34
2026-01-21,E1156,Remote,07:57
2026-01-21,E1157,Office,07:06
2026-01-21,E1158,Office,08:48
2026-01-21,E1159,Office,09:20
2026-01-21,E1160,On Leave,
2026-01-21,E1161,Office,07:40
2026-01-21,E1162,Office,09:41
2026-01-21,E1163,Office,08:44
2026-01-21,E1164,Office,07:36
2026-01-21,E1165,Office,08:14
2026-01-21,E1166,Office,08:18
2026-01-21,E1167,Office,07:39
2026-01-21,E1168,Office,08:39
2026-01-21,E1169,Remote,07:21
2026-01-21,E1170,Remote,08:05
2026-01-21,E1171,Office,09:04
2026-01-21,E1172,Office,07:22
2026-01-21,E1173,Office,08:25
2026-01-21,E1174,Office,09:52
2026-01-21,E1175,Office,09:36
2026-01-21,E1176,Remote,07:45
2026-01-21,E1177,Office,07:52
2026-01-21,E1178,Remote,09:00
2026-01-21,E1179,Remote,07:01
2026-01-22,E1000,Office,08:26
2026-01-22,E1001,Remote,07:47
2026-01-22,E1002,Remote,08:47
2026-01-22,E1003,Office,08:07
2026-01-22,E1004,Office,07:51
2026-01-22,E1005,Office,09:13
2026-01-22,E1006,Remote,07:37
2026-01-22,E1008,Remote,09:32
2026-01-22,E1009,Office,08:24
2026-01-22,E1010,Office,09:58
2026-01-22,E1012,Office,09:40
2026-01-22,E1013,Office,09:51
2026-01-22,E1014,Remote,08:01
2026-01-22,E1015,Remote,08:06
2026-01-22,E1016,Remote,08:24
2026-01-22,E1017,Office,09:31
2026-01-22,E1018,Remote,07:07
2026-01-22,E1019,Remote,09:28
2026-01-22,E1020,Absent,
2026-01-22,E1021,Remote,09:09
2026-01-22,E1022,Office,09:23
2026-01-22,E1023,Office,07:59
2026-01-22,E1024,Office,07:05
2026-01-22,E1025,Office,07:12
2026-01-22,E1026,Remote,07:30
2026-01-22,E1028,Remote,07:42
2026-01-22,E1029,Remote,08:18
2026-01-22,E1030,Office,09:35
2026-01-22,E1031,Office,07:56
2026-01-22,E1032,Office,09:32
2026-01-22,E1033,Office,09:04
2026-01-22,E1034,Remote,08:52
2026-01-22,E1035,Remote,08:24
2026-01-22,E1036,Office,07:12
2026-01-22,E1037,Remote,07:27
2026-01-22,E1038,Office,08:22
2026-01-22,E1039,Remote,08:56
2026-01-22,E1040,Remote,09:06
2026-01-22,E1041,Remote,09:04
2026-01-22,E1042,Office,09:33
2026-01-22,E1043,Office,07:33
2026-01-22,E1044,Office,08:38
2026-01-22,E1045,Office,09:30
2026-01-22,E1046,Office,07:52
2026-01-22,E1047,Office,07:21
2026-01-22,E1049,Office,07:32
2026-01-22,E1050,Remote,07:51
2026-01-22,E1051,Office,08:58
2026-01-22,E1052,Remote,07:00
2026-01-22,E1053,Absent,
2026-01-22,E1054,Office,08:41
2026-01-22,E1055,Remote,09:50
2026-01-22,E1056,Office,08:27
2026-01-22,E1057,Remote,07:47
2026-01-22,E1058,Remote,09:59
2026-01-22,E1059,Office,08:49
2026-01-22,E1060,Remote,09:26
2026-01-22,E1061,Office,08:56
2026-01-22,E1062,Office,08:41
2026-01-22,E1063,Remote,07:51
2026-01-22,E1064,Remote,07:02
2026-01-22,E1065,Remote,07:47
2026-01-22,E1066,Remote,09:20
2026-01-22,E1067,Office,09:19
2026-01-22,E1068,Office,08:25
2026-01-22,E1069,Office,09:43
2026-01-22,E1070,Office,07:25
2026-01-22,E1071,Office,08:10
2026-01-22,E1072,Office,08:28
2026-01-22,E1073,Remote,09:52
2026-01-22,E1074,Office,08:48
2026-01-22,E1075,Remote,07:04
2026-01-22,E1076,Remote,08:15
2026-01-22,E1077,Office,08:03
2026-01-22,E1078,Office,07:03
2026-01-22,E1079,Office,08:11
2026-01-22,E1080,Office,08:46
2026-01-22,E1081,Office,07:15
2026-01-22,E1082,Office,07:09
2026-01-22,E1083,Office,07:38
2026-01-22,E1084,Office,07:45
2026-01-22,E1085,Remote,09:17
2026-01-22,E1086,Remote,08:27
2026-01-22,E1087,Remote,09:13
2026-01-22,E1088,Office,07:23
2026-01-22,E1090,Remote,09:14
2026-01-22,E1091,Office,08:48
2026-01-22,E1092,Office,09:37
2026-01-22,E1093,On Leave,
2026-01-22,E1094,Office,09:51
2026-01-22,E1095,Remote,08:09
2026-01-22,E1096,Office,08:05
2026-01-22,E1097,Office,08:02
2026-01-22,E1098,Remote,08:01
2026-01-22,E1099,Absent,
2026-01-22,E1100,On Leave,
2026-01-22,E1101,Remote,08:45
2026-01-22,E1103,Remote,07:39
2026-01-22,E1104,Office,09:23
2026-01-22,E1105,Remote,09:42
2026-01-22,E1106,Office,09:27
2026-01-22,E1107,On Leave,
2026-01-22,E1108,Office,08:30
2026-01-22,E1109,Remote,07:26
2026-01-22,E1110,Office,08:34
2026-01-22,E1111,Remote,08:18
2026-01-22,E1112,Office,08:04
2026-01-22,E1113,Office,08:24
2026-01-22,E1114,Office,08:51
2026-01-22,E1115,Office,08:01
2026-01-22,E1116,Office,07:59
2026-01-22,E1117,Office,08:26
2026-01-22,E1118,Office,07:58
2026-01-22,E1119,Office,08:58
2026-01-22,E1120,Office,08:11
2026-01-22,E1121,Office,08:36
2026-01-22,E1122,Office,09:53
2026-01-22,E1123,Absent,
2026-01-22,E1124,Office,07:00
2026-01-22,E1125,Remote,09:41
2026-01-22,E1126,Remote,08:35
2026-01-22,E1127,Remote,07:44
2026-01-22,E1128,Office,09:04
2026-01-22,E1129,Remote,09:07
2026-01-22,E1130,Office,09:36
2026-01-22,E1131,Remote,07:07
2026-01-22,E1132,Office,09:51
2026-01-22,E1133,Remote,08:23
2026-01-22,E1134,Office,07:20
2026-01-22,E1135,Office,08:14
2026-01-22,E1136,Office,08:47
2026-01-22,E1137,Office,07:53
2026-01-22,E1138,Office,08:45
2026-01-22,E1139,Office,08:07
2026-01-22,E1140,Office,09:50
2026-01-22,E1141,Office,08:59
2026-01-22,E1142,Remote,07:40
2026-01-22,E1143,Remote,09:59
2026-01-22,E1144,Office,08:42
2026-01-22,E1145,Remote,08:53
2026-01-22,E1146,Remote,09:20
2026-01-22,E1147,Office,09:27
2026-01-22,E1148,Office,07:02
2026-01-22,E1149,Office,08:03
2026-01-22,E1150,Office,09:35
2026-01-22,E1151,Remote,09:39
2026-01-22,E1152,Office,07:39
2026-01-22,E1153,Remote,08:39
2026-01-22,E1154,Office,08:31
2026-01-22,E1155,Office,09:16
2026-01-22,E1156,Remote,07:46
2026-01-22,E1157,Office,08:31
2026-01-22,E1158,Remote,07:14
2026-01-22,E1159,Office,08:33
2026-01-22,E1160,Office,09:48
2026-01-22,E1161,Office,08:17
2026-01-22,E1162,Office,09:37
2026-01-22,E1163,Office,07:31
2026-01-22,E1164,Office,07:13
2026-01-22,E1165,Office,07:34
2026-01-22,E1166,Remote,07:00
2026-01-22,E1167,Remote,08:37
2026-01-22,E1168,Remote,08:10
2026-01-22,E1169,Office,07:24
2026-01-22,E1170,Remote,08:46
2026-01-22,E1171,Office,09:46
2026-01-22,E1172,Remote,07:14
2026-01-22,E1173,Office,07:33
2026-01-22,E1174,Office,07:27
2026-01-22,E1175,Office,07:29
2026-01-22,E1176,Remote,08:55
2026-01-22,E1177,Remote,07:33
2026-01-22,E1178,Office,08:15
2026-01-22,E1179,Remote,09:39
2026-01-23,E1000,Remote,08:50
2026-01-23,E1001,Remote,09:36
2026-01-23,E1002,Office,08:45
2026-01-23,E1003,Office,07:47
2026-01-23,E1004,Office,08:35
2026-01-23,E1005,Office,09:28
2026-01-23,E1006,Office,08:47
2026-01-23,E1008,Office,08:30
2026-01-23,E1009,Absent,
2026-01-23,E1010,Remote,07:46
2026-01-23,E1012,Remote,08:22
2026-01-23,E1013,Office,09:57
2026-01-23,E1014,Remote,09:10
2026-01-23,E1015,Remote,07:09
2026-01-23,E1016,Office,09:58
2026-01-23,E1017,Office,07:53
2026-01-23,E1018,Remote,08:32
2026-01-23,E1019,Office,09:42
2026-01-23,E1020,Remote,08:33
2026-01-23,E1021,Office,07:26
2026-01-23,E1022,Office,07:58
2026-01-23,E1023,Remote,08:14
2026-01-23,E1024,Remote,08:13
2026-01-23,E1025,Office,08:36
2026-01-23,E1026,Remote,07:06
2026-01-23,E1028,Remote,08:24
2026-01-23,E1029,Remote,08:51
2026-01-23,E1030,Office,09:59
2026-01-23,E1031,Office,08:49
2026-01-23,E1032,Remote,08:27
2026-01-23,E1033,Office,08:00
2026-01-23,E1034,Office,09:58
2026-01-23,E1035,Remote,09:40
2026-01-23,E1036,Office,07:13
2026-01-23,E1037,Remote,08:34
2026-01-23,E1038,Remote,08:25
2026-01-23,E1039,Office,08:04
2026-01-23,E1040,Office,07:48
2026-01-23,E1041,On Leave,
2026-01-23,E1042,Office,09:33
2026-01-23,E1043,Office,07:47
2026-01-23,E1044,Absent,
2026-01-23,E1045,Office,08:46
2026-01-23,E1046,Office,09:55
2026-01-23,E1047,Office,07:21
2026-01-23,E1049,Remote,09:14
2026-01-23,E1050,Office,07:42
2026-01-23,E1051,Office,08:44
2026-01-23,E1052,Office,09:04
2026-01-23,E1053,Office,09:46
2026-01-23,E1054,Remote,07:58
2026-01-23,E1055,Remote,08:21
2026-01-23,E1056,Office,07:18
2026-01-23,E1057,Office,08:29
2026-01-23,E1058,Office,09:36
2026-01-23,E1059,Office,08:17
2026-01-23,E1060,On Leave,
2026-01-23,E1061,Office,09:50
2026-01-23,E1062,Office,08:44
2026-01-23,E1063,Absent,
2026-01-23,E1064,Remote,07:01
2026-01-23,E1065,Office,08:33
2026-01-23,E1066,Absent,
2026-01-23,E1067,Remote,08:07
2026-01-23,E1068,On Leave,
2026-01-23,E1069,Office,09:18
2026-01-23,E1070,Office,08:44
2026-01-23,E1071,Office,07:06
2026-01-23,E1072,Office,09:44
2026-01-23,E1073,Remote,09:41
2026-01-23,E1074,Office,07:22
